fecha,ccaa,perc_total
2021-04-26T22:00:00000Z,Cataluña,0.267
2021-04-27T22:00:00000Z,Cataluña,0.271
2021-04-28T22:00:00000Z,Cataluña,0.275
2021-04-29T22:00:00000Z,Cataluña,0.27899999999999997
2021-05-02T22:00:00000Z,Cataluña,0.292
2021-05-03T22:00:00000Z,Cataluña,0.298
2021-05-04T22:00:00000Z,Cataluña,0.305
2021-05-05T22:00:00000Z,Cataluña,0.31
2021-05-06T22:00:00000Z,Cataluña,0.316
2021-05-09T22:00:00000Z,Cataluña,0.32899999999999996
2021-05-10T22:00:00000Z,Cataluña,0.335
2021-05-11T22:00:00000Z,Cataluña,0.34299999999999997
2021-05-12T22:00:00000Z,Cataluña,0.35100000000000003
2021-05-13T22:00:00000Z,Cataluña,0.36
2021-05-16T22:00:00000Z,Cataluña,0.374
2021-05-17T22:00:00000Z,Cataluña,0.379
2021-05-18T22:00:00000Z,Cataluña,0.387
2021-05-19T22:00:00000Z,Cataluña,0.396
2021-05-20T22:00:00000Z,Cataluña,0.405
2021-05-23T22:00:00000Z,Cataluña,0.413
2021-05-24T22:00:00000Z,Cataluña,0.414
2021-05-25T22:00:00000Z,Cataluña,0.419
2021-05-26T22:00:00000Z,Cataluña,0.425
2021-05-27T22:00:00000Z,Cataluña,0.431
2021-05-30T22:00:00000Z,Cataluña,0.436
2021-05-31T22:00:00000Z,Cataluña,0.43799999999999994
2021-06-01T22:00:00000Z,Cataluña,0.441
2021-06-02T22:00:00000Z,Cataluña,0.445
2021-03-30T22:00:00000Z,Com Valenciana,0.121
2021-03-31T22:00:00000Z,Com Valenciana,0.132
2021-04-02T22:00:00000Z,Com Valenciana,0.141
2021-04-04T22:00:00000Z,Com Valenciana,0.142
2021-04-05T22:00:00000Z,Com Valenciana,0.142
2021-04-06T22:00:00000Z,Com Valenciana,0.155
2021-04-07T22:00:00000Z,Com Valenciana,0.16699999999999998
2021-04-08T22:00:00000Z,Com Valenciana,0.17600000000000002
2021-04-11T22:00:00000Z,Com Valenciana,0.17600000000000002
2021-04-12T22:00:00000Z,Com Valenciana,0.18600000000000003
2021-04-13T22:00:00000Z,Com Valenciana,0.196
2021-04-14T22:00:00000Z,Com Valenciana,0.21
2021-04-15T22:00:00000Z,Com Valenciana,0.218
2021-04-18T22:00:00000Z,Com Valenciana,0.225
2021-04-19T22:00:00000Z,Com Valenciana,0.233
2021-04-20T22:00:00000Z,Com Valenciana,0.24
2021-04-21T22:00:00000Z,Com Valenciana,0.242
2021-04-22T22:00:00000Z,Com Valenciana,0.24600000000000002
2021-04-25T22:00:00000Z,Com Valenciana,0.251
2021-04-26T22:00:00000Z,Com Valenciana,0.261
2021-04-27T22:00:00000Z,Com Valenciana,0.273
2021-04-28T22:00:00000Z,Com Valenciana,0.27699999999999997
2021-04-29T22:00:00000Z,Com Valenciana,0.281
2021-05-02T22:00:00000Z,Com Valenciana,0.284
2021-05-03T22:00:00000Z,Com Valenciana,0.28600000000000003
2021-05-04T22:00:00000Z,Com Valenciana,0.301
2021-05-05T22:00:00000Z,Com Valenciana,0.312
2021-05-06T22:00:00000Z,Com Valenciana,0.317
2021-05-09T22:00:00000Z,Com Valenciana,0.322
2021-05-10T22:00:00000Z,Com Valenciana,0.32899999999999996
2021-05-11T22:00:00000Z,Com Valenciana,0.33799999999999997
2021-05-12T22:00:00000Z,Com Valenciana,0.349
2021-05-13T22:00:00000Z,Com Valenciana,0.354
2021-05-16T22:00:00000Z,Com Valenciana,0.359
2021-05-17T22:00:00000Z,Com Valenciana,0.364
2021-05-19T22:00:00000Z,Com Valenciana,0.381
2021-05-20T22:00:00000Z,Com Valenciana,0.391
2021-05-23T22:00:00000Z,Com Valenciana,0.391
2021-05-24T22:00:00000Z,Com Valenciana,0.40700000000000003
2021-05-25T22:00:00000Z,Com Valenciana,0.41100000000000003
2021-05-26T22:00:00000Z,Com Valenciana,0.42100000000000004
2021-05-27T22:00:00000Z,Com Valenciana,0.423
2021-05-30T22:00:00000Z,Com Valenciana,0.425
2021-05-31T22:00:00000Z,Com Valenciana,0.42700000000000005
2021-06-01T22:00:00000Z,Com Valenciana,0.434
2021-06-02T22:00:00000Z,Com Valenciana,0.445
2021-03-30T22:00:00000Z,Extremadura,0.159
2021-03-31T22:00:00000Z,Extremadura,0.17
2021-04-02T22:00:00000Z,Extremadura,0.172
2021-04-04T22:00:00000Z,Extremadura,0.175
2021-04-05T22:00:00000Z,Extremadura,0.182
2021-04-06T22:00:00000Z,Extremadura,0.192
2021-04-07T22:00:00000Z,Extremadura,0.203
2021-04-08T22:00:00000Z,Extremadura,0.21899999999999997
2021-04-11T22:00:00000Z,Extremadura,0.23399999999999999
2021-04-12T22:00:00000Z,Extremadura,0.237
2021-04-13T22:00:00000Z,Extremadura,0.245
2021-04-14T22:00:00000Z,Extremadura,0.255
2021-04-15T22:00:00000Z,Extremadura,0.265
2021-04-18T22:00:00000Z,Extremadura,0.276
2021-04-19T22:00:00000Z,Extremadura,0.27699999999999997
2021-04-20T22:00:00000Z,Extremadura,0.282
2021-04-21T22:00:00000Z,Extremadura,0.29100000000000004
2021-04-22T22:00:00000Z,Extremadura,0.302
2021-04-25T22:00:00000Z,Extremadura,0.31
2021-04-26T22:00:00000Z,Extremadura,0.312
2021-04-27T22:00:00000Z,Extremadura,0.318
2021-04-28T22:00:00000Z,Extremadura,0.327
2021-04-29T22:00:00000Z,Extremadura,0.335
2021-05-02T22:00:00000Z,Extremadura,0.342
2021-05-03T22:00:00000Z,Extremadura,0.344
2021-05-04T22:00:00000Z,Extremadura,0.349
2021-05-05T22:00:00000Z,Extremadura,0.358
2021-05-06T22:00:00000Z,Extremadura,0.368
2021-05-09T22:00:00000Z,Extremadura,0.376
2021-05-10T22:00:00000Z,Extremadura,0.38
2021-05-11T22:00:00000Z,Extremadura,0.391
